City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,Masuguru,-11.3667,38.4167,23.66,83,95,1.84,TZ,1684792038
313,Copiapó,-27.3667,-70.3333,15.83,35,5,2.01,CL,1684792038
314,Baoshan,46.5586,131.4244,14.33,66,16,2.49,CN,1684792038
315,Rakops,-21.0167,24.3333,20.36,26,17,3.3,BW,1684792038
316,Broken Hill,-31.95,141.4333,8.15,72,1,0.91,AU,1684792039
317,Chilmāri,25.5559,89.6715,24.8,84,26,3.37,BD,1684792039
318,Dvinskoy Bereznik,62.8551,42.7072,15.61,64,100,1.87,RU,1684792039
319,Portage la Prairie,49.9728,-98.2926,28.29,37,26,1.79,CA,1684792040
320,Mar del Plata,-38.0023,-57.5575,16.16,98,100,0.0,AR,1684791855
321,Papao,-17.75,-149.55,29.82,80,6,7.64,PF,1684792040
322,Nema,57.5067,50.5011,12.82,83,100,2.93,RU,1684792040
323,Pisco,-13.7,-76.2167,24.03,64,0,5.66,PE,1684792014
324,Lerwick,60.1545,-1.1494,9.0,82,4,5.94,GB,1684792041
325,Porto-Novo,6.4965,2.6036,27.9,80,88,2.74,BJ,1684792041
326,Badger,64.8,-147.5333,10.93,74,75,3.6,US,1684791823
327,Wanxian,30.8039,108.3897,15.71,95,100,0.58,CN,1684792042
328,Suomussalmi,64.8869,28.9078,13.32,65,100,2.35,FI,1684792042
329,Kununurra,-15.7667,128.7333,15.99,48,0,2.57,AU,1684791810
330,Murzuk,25.9155,13.9184,27.04,13,3,4.46,LY,1684792043
331,Pahrump,36.2083,-115.9839,33.03,28,59,4.53,US,1684792043
332,Crane,31.3974,-102.3501,31.96,28,8,5.63,US,1684792043
333,Erekli,40.97,27.9553,15.05,88,75,4.12,TR,1684792043
334,Idrī,27.5,13.2667,25.74,14,1,5.24,LY,1684792044
335,Veliko Tarnovo,43.0812,25.629,12.88,100,40,0.0,BG,1684792044
336,Pangai,-19.8,-174.35,26.06,69,20,4.63,TO,1684792044
337,Khromtau,50.2503,58.4347,13.11,49,2,4.17,KZ,1684792045
338,Ancud,-41.8697,-73.8203,9.97,81,100,7.53,CL,1684792045
339,Maile,-38.9466,-72.3727,11.34,92,100,3.44,CL,1684792045
340,Wenling,28.3669,121.36,15.9,83,11,2.99,CN,1684792045
341,Salekhard,66.53,66.6019,9.76,82,8,3.66,RU,1684792046
342,Jamestown,42.097,-79.2353,22.51,44,0,5.14,US,1684791850
343,Ulanhot,46.0833,122.0833,16.13,35,1,1.71,CN,1684792046
344,Uthal,25.8072,66.6219,27.97,84,77,2.7,PK,1684792046
345,Tabou,4.423,-7.3528,27.34,84,25,3.55,CI,1684792047
346,Qingshuping,27.3817,112.0221,14.11,91,45,1.02,CN,1684792047
347,Tevriz,57.509,72.4042,11.01,62,21,1.78,RU,1684792048
348,Trincomalee,8.5711,81.2335,26.31,86,8,5.22,LK,1684792048
349,Faya-Largeau,17.9257,19.1043,35.01,16,20,2.27,TD,1684792048
